Time (ms)	Resources	Captured	Escaped
5078	9996	0	0
10197	9966	0	0
15304	9930	0	3
20417	9888	0	4
25523	9825	0	6
30630	9783	0	8
35737	9743	0	11
40844	9693	0	11
45952	9662	1	14
51051	9600	1	15
56155	9564	2	18
61255	9522	3	18
66364	9486	4	19
71470	9427	4	19
76583	9381	5	22
81689	9347	5	23
86795	9311	6	25
91904	9274	8	26
97015	9246	8	26
102120	9190	8	27
107227	9164	9	30
112325	9127	9	31
117434	9103	11	33
122550	9087	11	33
127663	9057	13	33
132779	9008	15	33
137886	8990	16	36
142995	8954	16	36
148105	8936	18	38
153221	8917	20	38
158326	8879	20	38
163435	8833	21	38
168547	8805	23	40
173650	8764	23	41
178762	8744	25	42
183935	8728	26	43
189041	8692	27	43
194139	8644	28	46
199247	8633	29	47
204355	8611	29	49
209453	8587	31	49
214557	8573	33	49
219662	8536	34	49
224764	8508	34	52
229871	8494	36	52
234975	8474	38	54
240082	8454	39	54
245194	8431	40	54
250299	8403	42	54
255408	8379	43	55
260509	8371	43	57
265613	8350	45	59
270718	8326	46	59
275826	8320	47	60
280934	8302	51	60
286038	8293	52	60
291144	8281	52	60
296248	8257	53	63
301355	8243	55	63
306461	8232	55	63
311566	8192	58	64
316671	8184	58	66
321774	8166	58	66
326888	8141	59	69
331994	8133	59	69
337101	8105	59	69
342203	8065	61	69
347316	8040	62	72
352430	8008	62	73
357539	7984	64	75
362587	7972	65	76
367692	7952	66	76
372796	7915	68	77
377897	7903	68	79
383006	7867	69	79
388106	7863	69	83
393215	7854	69	83
398323	7832	73	83
403427	7816	74	86
408529	7798	74	86
413633	7763	75	88
418734	7755	75	89
423839	7743	76	89
428941	7723	79	91
434045	7710	80	92
439156	7684	81	92
444263	7666	82	94
449364	7650	83	94
454467	7623	86	95
459578	7609	88	96
464681	7599	88	96
469789	7575	90	98
474887	7561	90	98
479994	7548	92	98
485092	7518	95	98
490208	7506	96	99
495312	7492	96	100
500416	7463	98	102
505516	7451	99	102
510627	7429	102	102
515732	7421	106	102
520832	7394	106	102
525940	7370	108	104
531047	7342	112	104
536052	7330	116	104
541062	7318	116	104
546166	7297	118	106
551270	7283	120	106
556375	7275	121	106
561484	7257	124	107
566591	7242	125	107
571692	7206	125	107
576799	7194	126	110
581907	7170	129	110
587014	7161	134	110
592119	7157	134	110
597219	7133	135	112
602322	7113	137	112
607420	7106	140	112
612530	7094	144	112
617633	7086	144	112
622738	7072	145	115
627845	7054	147	115
632952	7035	149	115
638053	7009	152	115
643154	6987	153	115
648257	6963	155	115
653360	6946	156	117
658463	6924	157	117
663568	6902	163	117
668674	6892	163	117
673780	6851	165	118
678884	6837	167	119
683985	6823	169	119
689087	6815	173	119
694193	6794	173	119
699300	6772	175	121
704399	6748	177	121
709507	6730	178	121
714612	6709	181	122
719714	6697	181	123
724822	6677	182	123
729926	6669	185	126
735031	6660	185	126
740138	6642	188	127
745239	6634	189	127
750350	6598	191	128
755450	6586	192	129
760553	6569	195	129
765661	6545	198	129
770765	6531	199	129
775869	6511	201	131
780975	6496	202	131
786082	6484	203	131
791191	6466	206	131
796301	6450	208	132
801403	6435	208	132
806512	6415	210	134
811619	6399	211	134
816724	6383	214	134
821830	6364	217	134
826938	6356	218	134
832048	6314	218	134
837155	6286	221	135
842280	6257	224	135
847389	6249	228	135
852510	6239	229	135
857612	6197	233	135
862730	6176	236	135
867838	6168	238	135
872944	6154	241	135
878049	6120	241	135
883160	6075	245	135
888274	6057	248	135
893378	6047	253	135
898485	6025	253	135
903584	5977	255	136
908687	5946	257	137
913800	5942	258	137
918903	5920	262	137
924016	5908	263	137
929122	5853	266	137
934236	5843	267	137
939342	5831	269	137
944444	5795	274	137
949548	5780	275	137
954657	5722	276	137
959769	5702	280	137
964874	5690	282	137
970023	5657	287	137
975209	5639	287	137
980330	5591	291	137
985442	5579	293	137
990561	5574	293	137
995692	5564	296	137
1000818	5550	296	139
1005924	5542	296	140
1011032	5499	298	141
1016138	5479	302	141
1021242	5475	302	141
1026348	5465	306	141
1031463	5460	306	142
1036579	5444	306	142
1041686	5416	308	144
1046800	5392	311	144
1051911	5375	314	144
1057025	5361	315	144
1062133	5349	316	144
1067238	5315	318	145
1072355	5292	321	145
1077460	5284	322	145
1082563	5268	326	145
1087673	5256	327	145
1092777	5235	327	145
1097878	5221	328	148
1102985	5209	329	148
1108100	5191	330	148
1113202	5168	334	148
1118315	5156	335	149
1123419	5120	335	149
1128527	5106	338	150
1133628	5096	341	150
1138733	5073	345	150
1143840	5067	345	150
1148945	5059	345	151
1154057	5025	346	151
1159173	5006	349	152
1164286	4990	351	152
1169393	4976	354	152
1174514	4970	355	152
1179620	4955	355	152
1184727	4917	357	153
1189831	4885	359	154
1194940	4877	361	154
1200056	4864	365	154
1205163	4852	366	154
1210278	4842	366	154
1215386	4794	370	154
1220499	4773	373	154
1225611	4769	373	154
1230720	4755	378	154
1235830	4735	378	154
1240939	4698	380	155
1246041	4690	381	156
1251153	4686	381	156
1256267	4658	384	157
1261373	4649	384	158
1266481	4631	384	159
1271595	4591	387	161
1276705	4573	390	161
1281806	4566	391	161
1286914	4554	395	161
1292015	4512	398	161
1297119	4502	399	161
1302231	4486	400	161
1307347	4473	405	161
1312458	4467	405	161
1317569	4463	405	163
1322677	4413	408	163
1327785	4392	410	163
1332892	4372	412	164
1338004	4346	415	164
1343115	4340	416	164
1348225	4305	418	165
1353335	4289	421	165
1358447	4277	422	165
1363558	4247	423	165
1368669	4234	425	166
1373782	4230	425	167
1378901	4186	429	167
1384008	4162	431	167
1389118	4149	431	167
1394220	4121	433	167
1399330	4107	434	170
1404437	4099	434	170
1409544	4054	437	170
1414651	4038	439	170
1419755	4026	441	170
1424860	4010	445	170
1429964	4001	445	170
1435083	3983	445	171
1440198	3947	449	171
1445313	3933	449	171
1450425	3920	451	171
1455531	3894	455	172
1460644	3884	456	172
1465752	3860	456	172
1470859	3817	460	172
1475969	3797	464	172
1481081	3785	468	172
1486191	3737	468	172
1491305	3721	473	172
1496409	3700	476	172
1501524	3682	480	172
1506629	3678	480	172
1511745	3632	482	173
1516897	3607	484	173
1522032	3581	485	173
1527138	3539	488	173
1532247	3531	489	175
1537352	3516	489	175
1542469	3482	492	176
1547578	3456	495	176
1552686	3448	496	176
1557806	3431	500	176
1562914	3423	500	176
1568040	3375	504	176
1573150	3363	506	176
1578267	3356	506	177
1583378	3328	510	177
1588487	3306	511	177
1593599	3270	511	177
1598713	3249	515	177
1603822	3229	516	177
1608929	3201	523	177
1614039	3187	523	177
1619158	3134	526	177
1624277	3110	528	177
1629384	3096	530	177
1634494	3080	533	177
1639597	3068	534	178
1644706	3027	534	178
1649812	2991	538	178
1654930	2977	540	178
1660052	2959	544	178
1665162	2942	546	178
1670272	2926	546	178
1675379	2880	549	178
1680488	2868	549	179
1685606	2855	551	179
1690713	2831	555	179
1695826	2819	556	179
1700933	2801	556	179
1706047	2758	558	180
1711157	2726	559	181
1716260	2712	561	182
1721369	2694	564	182
1726475	2681	566	182
1731590	2639	566	182
1736709	2613	570	182
1741818	2595	573	182
1746930	2580	576	182
1752038	2572	577	183
1757142	2560	577	183
1762252	2516	581	183
1767364	2501	582	183
1772473	2481	583	183
1777585	2451	587	184
1782696	2447	587	185
1787816	2396	587	185
1792929	2356	591	185
1798043	2332	595	185
1803155	2324	599	185
1808275	2317	599	185
1813389	2277	602	186
1818504	2251	604	186
1823611	2237	605	186
1828723	2211	608	186
1833833	2202	608	188
1838942	2182	608	188
1844055	2142	612	188
1849162	2122	614	188
1854274	2117	615	188
1859388	2083	617	188
1864501	2065	618	190
1869612	2057	618	190
1874726	2012	622	190
1879835	2000	625	190
1884952	1988	626	190
